material_id,material_name,category,supplier,unit,unit_cost_usd,usage_process,storage_condition,purity,hazard_level,country_of_origin,last_updated
MAT001,Dicing Tape UV Type,裝配輔材,Dow Chemical,卷,160.67,Oxidation,避光保存,N/A,低,德國,2025-07-24
MAT002,Photoresist AR-450,光阻材料,長春化工,卷,107.13,Oxidation,密封容器，避光保存,高純度,中,韓國,2025-07-22
MAT003,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,台灣中油,片,224.77,Packaging,避光保存,99.9999%,低,日本,2025-07-28
MAT004,8-inch Silicon Wafer,矽材料,Toppan Photomask,公升,51.88,Oxidation,高壓鋼瓶,電子級,中,德國,2025-08-17
MAT005,Sulfuric Acid (H₂SO₄),化學溶液,長春化工,卷,152.57,CVD,避光保存,電子級,中,台灣,2025-07-31
MAT006,Argon Gas (Ar),化學氣體,Senju Metal,公克,26.71,Packaging,高壓鋼瓶,高純度,低,法國,2025-07-31
MAT007,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,欣興電子 Unimicron,公克,191.44,Cleaning,乾燥室，低於25°C,電子級,高,法國,2025-07-14
MAT008,12-inch Silicon Wafer,矽材料,長春化工,卷,431.06,Etching,乾燥室，低於25°C,高純度,中,日本,2025-09-23
MAT009,ABF Substrate 4L,封裝基板,Air Liquide,卷,308.85,CMP,常溫乾燥,電子級,低,德國,2025-08-27
MAT010,Hydrofluoric Acid (HF),化學溶液,欣興電子 Unimicron,公升,17.99,CVD,避光保存,高純度,高,日本,2025-07-27
MAT011,Gold Wire 25μm,封裝導線,Nan Ya PCB,公升,12.02,Etching,乾燥室，低於25°C,電子級,低,日本,2025-08-21
MAT012,CF₄ Gas,化學氣體,Air Liquide,公斤,497.45,CMP,乾燥室，低於25°C,N/A,中,德國,2025-07-18
MAT013,BT Substrate 6L,封裝基板,長春化工,卷,438.75,Etching,高壓鋼瓶,N/A,中,日本,2025-08-26
MAT014,Ag Wire 18μm,封裝導線,Shin-Etsu,片,263.34,CVD,避光保存,高純度,低,德國,2025-07-31
MAT015,Copper Target,薄膜材料,Dow Chemical,卷,132.46,Oxidation,乾燥室，低於25°C,高純度,低,法國,2025-07-08
